Ticker,Exchange,Market Capitalization,Last,Change %,Change,Volume,Price to Earnings Ratio (TTM),Number of Employees,Sector
IMOS,NASDAQ,923595000,25.63,0.90551181,0.23,22585,12.62927605,5688,Electronic Technology
INN,NYSE,921678000,8.61,-1.26146789,-0.11,5868059,,59,Finance
SPH,NYSE,921357602,14.74,-1.0738255,-0.16,320713,15.39415229,3169,Utilities
PFC,NASDAQ,917775808,24.61,-2.22487088,-0.56,63684,18.20746528,699,Finance
NESR,NASDAQ,917275919.9999998,10.45,-1.04166667,-0.11,84849,24.6728972,4536,Industrial Services
GABC,NASDAQ,917163425.9999998,34.62,-2.28619814,-0.81,32457,16.48136949,821,Finance
LL,NYSE,916194231,31.73,-3.87761284,-1.28,348322,20.47004837,2200,Retail Trade
ENTA,NASDAQ,915798629,45.61,-0.4365859,-0.2,153744,,141,Health Technology
SIBN,NASDAQ,914516208,28.26,-2.55172414,-0.74,251403,,262,Health Technology
LRN,NYSE,910055951,21.91,0.96774194,0.21,601577,18.8155727,4950,Consumer Services
TARS,NASDAQ,909947512,44.78,-5.22751323,-2.47,77660,,,Health Technology
AFIB,NASDAQ,906112094,32.54,-1.00395497,-0.33,82149,,219,Health Technology
CCX,NYSE,905625000,10.5,-0.28490028,-0.03,2852884,260,,Finance
ENVA,NYSE,904848957,25.37,-3.82865807,-1.01,358983,7.9295419,1325,Finance
HOLI,NASDAQ,904422780,14.94,1.63265306,0.24,331340,12.69649335,3598,Electronic Technology
MDP,NYSE,904043923.2,19.84,-2.8403526,-0.58,350427,,5370,Consumer Services
HA,NASDAQ,903512668,19.64,2.13208528,0.41,776568,,7437,Transportation
APOG,NASDAQ,903247420.9999998,34.73,0.28876697,0.1,219103,13.102535,7200,Producer Manufacturing
PETQ,NASDAQ,903223064,35.72,0.87545891,0.31,235959,,1866,Health Technology
QUOT,NYSE,900045384,9.89,-0.90180361,-0.09,400834,,1072,Commercial Services
HNGR,NYSE,899000746,23.59,-2.56092524,-0.62,115367,22.94351782,4800,Health Services
SOGO,NYSE,898961000,8.29,0.36319613,0.03,592710,,2738,Technology Services
CRTX,NASDAQ,897919120,30.44,-1.29701686,-0.4,140921,,23,Health Technology
UHT,NYSE,896322000,65.33,0.36872023,0.24,56392,44.1587517,,Finance
SCHL,NASDAQ,890459152,25.96,-2.91697831,-0.78,147899,,8300,Consumer Services
CIIC,NASDAQ,890100000,27.52,0.99082569,0.27,1408847,2546.72897196,,Finance
HGEN,NASDAQ,888836130,17.22,-0.57736721,-0.1,326666,,2,Health Technology
ESTA,NASDAQ,888542161.9999999,37.91,0.58370921,0.22,47918,,602,Health Technology
HFWA,NASDAQ,888420822,24.74,-1.78642318,-0.45,144577,23.13131313,884,Finance
DNOW,NYSE,888165599.9999999,8.12,3.04568528,0.24,1041662,,4400,Distribution Services
GHG,NYSE,887730000,13.22,1.69230769,0.22,11907,37.23861358,2657,Consumer Services
