Ticker,Exchange,Market Capitalization,Last,Change %,Change,Volume,Price to Earnings Ratio (TTM),Number of Employees,Sector
MNDO,NASDAQ,53426130,2.685,-0.18958403,-0.0051,14368,10.13984169,240,Commercial Services
AMBO,NYSE ARCA,53195900,2.55,0,0,144019,,3448,Consumer Services
STG,NYSE,53155700,1.27,3.25203252,0.04,195922,,2880,Commercial Services
KFFB,NASDAQ,52937399.44,6.427,1.21259843,0.077,8335,,63,Finance
TATT,NASDAQ,52728150,5.9412,-2.60327869,-0.1588,35203,,599,Electronic Technology
PFIE,NASDAQ,52707600.4,1.099,2.71028037,0.029,90989,,117,Producer Manufacturing
HFEN,NASDAQ,52705500,6.15,-3.75586854,-0.24,64661,,,Finance
CBLI,NASDAQ,52678780,3.95,-2.70935961,-0.11,270004,,12,Health Technology
GSUM,NASDAQ,52666900,1.825,4.22020444,0.0739,730854,,929,Technology Services
LAIX,NYSE,52633700,1.7899,1.12429379,0.0199,761091,,3214,Technology Services
CLRO,NASDAQ,52547040,2.8,12.90322581,0.32,464786,,127,Electronic Technology
GOED,NYSE ARCA,52495208,8.59,-4.87264673,-0.44,159278,,,Retail Trade
DXYN,NASDAQ,52416234,3.51,2.33236152,0.08,81186,3.36968268,1526,Consumer Durables
INDO,NYSE ARCA,52374277.2,7.07,10.64162754,0.68,188872,,,Energy Minerals
CLSN,NASDAQ,52197691.5,1.395,-19.82758621,-0.345,29942491,,29,Health Technology
SNGX,NASDAQ,52108337,1.655,3.4375,0.055,4085536,,16,Health Technology
HGSH,NASDAQ,52032750,2.31,4.05405405,0.09,499741,50.91743119,139,Consumer Durables
MDJH,NASDAQ,51976172,4.465,3.11778291,0.135,4415,46.06382979,195,Finance
YMTX,NASDAQ,51767321.6,19.84,-1.8793274,-0.38,20288,,44,Health Technology
ACER,NASDAQ,51636522,3.71,-0.2688172,-0.01,460883,,17,Health Technology
HDSN,NASDAQ,51584001,1.19,-0.83333333,-0.01,163581,,234,Industrial Services
HAPP,NASDAQ,51535820,1.9898,-0.51,-0.0102,593260,,,Health Technology
PPIH,NASDAQ,51439436.99999999,6.3,2.10696921,0.13,50568,,632,Producer Manufacturing
DSWL,NASDAQ,51406096,3.23,-1.32583858,-0.0434,30766,,1105,Process Industries
NNVC,NYSE ARCA,51405300,4.82,25.84856397,0.99,3160414,,17,Health Technology
FENG,NYSE,51343500,1.5517,0.10967742,0.0017,157405,0.95396356,1689,Consumer Services
QRHC,NASDAQ,51287224.24,2.7902,-1.40636042,-0.0398,19219,57.05645161,100,Industrial Services
TBLT,NASDAQ,51257234.36,1.2724,-1.36434109,-0.0176,2472229,,24,Consumer Non-Durables
RWLK,NASDAQ,51194069.3,2.6695,1.11742424,0.0295,5646754,,50,Health Technology
MYO,NYSE ARCA,51132776.4,11.16,2.47933884,0.27,96340,,50,Distribution Services
JUPW,NASDAQ,50912739.75,5.575,-0.26833631,-0.015,85646,,5,Consumer Non-Durables
ICCC,NASDAQ,50635260,7.02,-1.68067227,-0.12,23277,,54,Health Technology
RYB,NYSE,50354800,2.46,0.81967213,0.02,20882,,6547,Commercial Services
ANDA,NASDAQ,50270012,11.38,-1.04347826,-0.12,17761,,3,Finance
QUIK,NASDAQ,50250990,4.54,-1.73160173,-0.08,34202,,81,Electronic Technology
ANPC,NASDAQ,50029600,5.935,-1.08333333,-0.065,18788,,111,Health Technology
MOTS,NASDAQ,49964497.58000001,1.5497,-3.74534161,-0.0603,2797449,,49,Health Technology
LOAN,NASDAQ,49927500,5.185,-0.09633911,-0.005,17529,11.364134,5,Finance
FRD,NYSE ARCA,49871024.4,7.08,-0.42194093,-0.03,818,,103,Producer Manufacturing
SINT,NASDAQ,49569134,1.94,-3.96039604,-0.08,1136435,,28,Health Technology
